Title,SJR,H index,Quartile
Frontiers in Physiology,"1,006",158,Q2
Human Performance,"1,006",81,Q1
Journal of Endovascular Therapy,"1,006",109,Q1
"Language, Cognition and Neuroscience","1,006",94,Q1
Management of Environmental Quality,"1,006",55,Q1
Nordic Journal of Studies in Educational Policy,"1,006",19,Q1
Social Studies of Science,"1,006",106,Q1
Tungsten,"1,006",22,Q1
Aging clinical and experimental research,"1,005",88,Q2
Asia Pacific Management Review,"1,005",37,Q1
BMC Bioinformatics,"1,005",242,Q1
California Law Review,"1,005",64,Q1
China Journal,"1,005",57,Q1
Ergodic Theory and Dynamical Systems,"1,005",61,Q1
Interpreter and Translator Trainer,"1,005",32,Q1
International Journal of Tryptophan Research,"1,004",33,Q2
Journal d'Analyse Mathematique,"1,004",55,Q1
Journal of Assisted Reproduction and Genetics,"1,004",93,Q1
Journal of Electronic Commerce Research,"1,004",44,Q1
Journal of Loss and Trauma,"1,004",53,Q1
Potential Analysis,"1,004",47,Q1
Proteomes,"1,004",34,Q2
School Mental Health,"1,004",48,Q1
Structure and Infrastructure Engineering,"1,004",71,Q1
Frontiers in Climate,"1,003",25,Q1
Frontiers in Neuroanatomy,"1,003",84,Q1
Journal of Artificial Intelligence and Soft Computing Research,"1,003",28,Q1
Journal of the American Psychoanalytic Association,"1,003",54,Q1
Proceedings of the Nutrition Society,"1,003",147,Q1
Visual Cognition,"1,003",91,Q1
Aggression and Violent Behavior,"1,002",130,Q1
Andrology,"1,002",67,Q1
BMC Medical Informatics and Decision Making,"1,002",97,Q1
Current Psychology,"1,001",59,Q1
"Health Economics, Policy and Law","1,001",44,Q1
International Journal of Intelligent Networks,"1,001",19,Q1
NeuroMolecular Medicine,"1,001",82,Q2
Optimization Methods and Software,"1,001",67,Q1
Applied Mathematical Modelling,"1,000",140,Q1
Australasian Journal of Educational Technology,"1,000",68,Q1
Biosystems Engineering,"1,000",132,Q1
Convergence,"1,000",56,Q1
Wildlife Monographs,"1,000",44,Q1
Asian Spine Journal,"0,999",47,Q1
BMC Microbiology,"0,999",137,Q2
Clinical and Translational Radiation Oncology,"0,999",31,Q1
"Drug Design, Development and Therapy","0,999",94,Q1
Physiological Genomics,"0,999",125,Q2
Analytica Chimica Acta,"0,998",234,Q1
Applied Clay Science,"0,998",160,Q1
Current Hematologic Malignancy Reports,"0,998",44,Q1
Economics of Innovation and New Technology,"0,998",66,Q1
Environmental Epidemiology,"0,998",21,Q1
Heart Rhythm O2,"0,998",13,Q1
"IEEE Radio Frequency Integrated Circuits Symposium, RFIC, Digest of Technical Papers","0,998",50,-
International Political Science Review,"0,998",66,Q1
Journal of Mathematical Fluid Mechanics,"0,998",39,Q1
Journal of the American Taxation Association,"0,998",31,Q1
Optics Express,"0,998",312,Q1
"Personality Disorders: Theory, Research, and Treatment","0,998",66,Q1
ACM Transactions on Computation Theory,"0,997",20,Q1
Chinese Medical Journal,"0,997",78,Q1
Games and Culture,"0,997",60,Q1
Indoor Air,"0,997",125,Q1
International Journal for Educational Integrity,"0,997",21,Q1
Journal of Dermatological Treatment,"0,997",63,Q1
Journal of Diabetes Investigation,"0,997",68,Q1
MycoKeys,"0,997",31,Q1
PET Clinics,"0,997",33,Q1
Annals of Hepatology,"0,996",66,Q1
Biometrical Journal,"0,996",75,Q1
Complex Adaptive Systems Modeling,"0,996",19,Q1
Fish and Shellfish Immunology,"0,996",152,Q1
Journal of Cognition and Development,"0,996",68,Q2
NFS Journal,"0,996",28,Q1
Supply Chain Forum,"0,996",26,Q1
Advances in Computational Mathematics,"0,995",67,Q1
Gender in Management,"0,995",66,Q1
Journal of Cloud Computing,"0,995",44,Q1
Journal of Glaucoma,"0,995",102,Q1
Drug Delivery and Translational Research,"0,994",62,Q1
Environmental Challenges,"0,994",32,Q1
European radiology experimental,"0,994",28,Q1
Geothermics,"0,994",93,Q1
"Palaeogeography, Palaeoclimatology, Palaeoecology","0,994",177,Q1
Advanced Biology,"0,993",37,Q1
ASAIO Journal,"0,993",80,Q1
Current Gastroenterology Reports,"0,993",81,Q1
Environment and Urbanization,"0,993",90,Q1
"European Journal of Mechanics, A/Solids","0,993",105,Q1
Intestinal Research,"0,993",33,Q2
Journal of Diabetes Research,"0,993",83,Q2
Zoological Journal of the Linnean Society,"0,993",95,Q1
Geosynthetics International,"0,992",67,Q1
Journal of Child and Adolescent Mental Health,"0,992",22,Q1
Journal of Cross-Cultural Psychology,"0,992",131,Q1
Journal of Strategy and Management,"0,992",32,Q1
Ophthalmologica,"0,992",70,Q1
Pediatric Blood and Cancer,"0,992",128,Q1
Tree Physiology,"0,992",147,Q1
ACM Transactions on Interactive Intelligent Systems,"0,991",45,Q2
Cancer cytopathology,"0,991",68,Q2
Climate Change Economics,"0,991",34,Q1
Current Vascular Pharmacology,"0,991",69,Q1
Journal of Muscle Research and Cell Motility,"0,991",70,Q2
Scandinavian Journal of Hospitality and Tourism,"0,991",58,Q1
Applied Health Economics and Health Policy,"0,990",53,Q1
Cardiology and Therapy,"0,990",24,Q1
Current Opinion in Oncology,"0,990",104,Q2
Expert Review of Clinical Pharmacology,"0,990",60,Q1
Frontiers of Optoelectronics,"0,990",31,Q1
International Biodeterioration and Biodegradation,"0,990",131,Q2
Journal of Child Language,"0,990",85,Q1
Journal of General Virology,"0,990",187,Q2
Marine Chemistry,"0,990",149,Q1
Multiple Sclerosis and Related Disorders,"0,990",63,Q1
New York University Law Review,"0,990",60,Q1
Volcanica,"0,990",14,Q1
AEJ - Alexandria Engineering Journal,"0,989",95,Q1
Chinese Sociological Review,"0,989",29,Q1
Prostate International,"0,989",24,Q1
Frontiers in Communications and Networks,"0,988",13,Q1
International Journal of Machine Learning and Cybernetics,"0,988",65,Q1
International Journal of Solids and Structures,"0,988",197,Q1
Journal of Clinical and Translational Hepatology,"0,988",48,Q2
Journal of Medical Economics,"0,988",56,Q1
Journal of Veterinary Internal Medicine,"0,988",124,Q1
Nanotheranostics,"0,988",32,Q1
Natural Gas Geoscience,"0,988",40,Q1
Obesity Research and Clinical Practice,"0,988",47,Q1
Online Social Networks and Media,"0,988",25,Q1
Current Research in Immunology,"0,987",10,Q2
European Journal of Anaesthesiology,"0,987",88,Q1
Expert Opinion on Drug Metabolism and Toxicology,"0,987",100,Q1
Function,"0,987",16,Q2
International Journal of Computer Integrated Manufacturing,"0,987",69,Q1
Israel Journal of Chemistry,"0,987",64,Q1
Oeconomia Copernicana,"0,987",30,Q1
Oxford Review of Education,"0,987",78,Q1
Analysis and Applications,"0,986",27,Q1
Current Opinion in Physiology,"0,986",30,Q2
European Journal of Cultural Studies,"0,986",56,Q1
European Security,"0,986",34,Q1
Forensic Chemistry,"0,986",27,Q1
JMIR Serious Games,"0,986",38,Q1
Prenatal Diagnosis,"0,986",108,Q1
Proceedings - International Conference on Distributed Computing Systems,"0,986",101,-
Regenerative Biomaterials,"0,986",40,Q2
Chinese Journal of International Politics,"0,985",38,Q1
Expert Review of Proteomics,"0,985",68,Q2
Gerontology,"0,985",113,Q2
npj Primary Care Respiratory Medicine,"0,985",40,Q1
Proceedings of the ACM on Computer Graphics and Interactive Techniques,"0,985",18,Q1
European Journal of Pediatrics,"0,984",111,Q1
International Journal of Pavement Engineering,"0,984",67,Q1
Journal of Neurophysiology,"0,984",267,Q2
Menopause,"0,984",122,Q1
She Ji,"0,984",22,Q1
EURO Journal on Computational Optimization,"0,983",19,Q1
Global Journal of Flexible Systems Management,"0,983",45,Q1
Health Promotion Perspectives,"0,983",22,Q1
Journal of Hand Surgery,"0,983",137,Q1
Journal of Mechanical Design,"0,983",139,Q1
Journal of Sandwich Structures and Materials,"0,983",52,Q1
Media and Communication,"0,983",38,Q1
Nonlinear Differential Equations and Applications,"0,983",47,Q1
Nursing Philosophy,"0,983",42,Q1
Placenta,"0,983",142,Q1
ACS Applied Polymer Materials,"0,982",50,Q1
BJGP Open,"0,982",24,Q1
Current Opinion in Pediatrics,"0,982",101,Q1
European Polymer Journal,"0,982",168,Q1
Journal of Earth Science,"0,982",47,Q1
Journal of Health Communication,"0,982",107,Q1
Microbial Cell,"0,982",39,Q1
Xenotransplantation,"0,982",69,Q1
Chemical Research in Toxicology,"0,981",177,Q1
Electron Paramagnetic Resonance,"0,981",15,Q1
Hydrometallurgy,"0,981",138,Q1
Journal of Public Health,"0,981",98,Q1
Ophthalmic Epidemiology,"0,981",75,Q1
Acta Diabetologica,"0,980",84,Q1
Cell Adhesion and Migration,"0,980",75,Q2
Contemporary Clinical Trials,"0,980",75,Q1
Cytokine: X,"0,980",10,Q2
Galaxies,"0,980",32,Q2
IEEE Transactions on Sustainable Computing,"0,980",32,Q1
Intereconomics,"0,980",29,Q1
Teachers and Teaching: Theory and Practice,"0,980",76,Q1
American Journal of International Law,"0,979",89,Q1
Annals of Agricultural Sciences,"0,979",48,Q1
ASTIN Bulletin,"0,979",49,Q1
BMB Reports,"0,979",96,Q1
Child and Adolescent Psychiatric Clinics of North America,"0,979",85,Q1
Climate Change Ecology,"0,979",8,Q1
Journal for the Scientific Study of Religion,"0,979",83,Q1
Journal of Sports Science and Medicine,"0,979",81,Q1
Lung Cancer: Targets and Therapy,"0,979",27,Q2
Numerical Methods for Partial Differential Equations,"0,979",72,Q1
Parenting,"0,979",58,Q1
Proceedings of the ACM on Human-Computer Interaction,"0,979",62,Q1
Clinical Endocrinology,"0,978",165,Q2
Statistics in Biopharmaceutical Research,"0,978",25,Q1
Tissue Barriers,"0,978",43,Q1
Brain Imaging and Behavior,"0,977",68,Q1
Current Research in Green and Sustainable Chemistry,"0,977",30,Q1
Genetic Epidemiology,"0,977",105,Q2
Journal of Applied Gerontology,"0,977",65,Q1
Journal of Occupational Rehabilitation,"0,977",84,Q1
Machine Learning and Knowledge Extraction,"0,977",27,Q1
Plasma Physics and Controlled Fusion,"0,977",120,Q1
AI and Society,"0,976",45,Q1
Applied Physics Letters,"0,976",478,Q1
Clinical obesity,"0,976",35,Q2
Current Heart Failure Reports,"0,976",50,Q1
Early Intervention in Psychiatry,"0,976",58,Q2
Earth Surface Processes and Landforms,"0,976",150,Q1
European Journal of Radiology,"0,976",135,Q1
Intensive Care Medicine Experimental,"0,976",37,Q1
"Journal of Race, Ethnicity and Politics","0,976",16,Q1
BMC Medical Ethics,"0,975",60,Q1
Cardiac Failure Review,"0,975",18,Q1
CPT: Pharmacometrics and Systems Pharmacology,"0,975",55,Q1
Journal of Applied and Computational Topology,"0,975",14,Q1
Journal of Quality Technology,"0,975",94,Q1
Mineralogical Magazine,"0,975",80,Q2
Power System Technology,"0,975",88,Q1
Research Involvement and Engagement,"0,975",36,Q1
World Journal of Urology,"0,975",100,Q1
Bioinformatics and Biology Insights,"0,974",32,Q1
Biomarker Insights,"0,974",40,Q1
European Journal of Cardio-thoracic Surgery,"0,974",153,Q1
IEEE Transactions on Terahertz Science and Technology,"0,974",71,Q1
International Journal of Psychiatry in Clinical Practice,"0,974",44,Q2
Journal of Hospitality and Tourism Insights,"0,974",23,Q1
Journal of Refugee Studies,"0,974",72,Q1
Population and Environment,"0,974",63,Q1
Sociological Methodology,"0,974",63,Q1
Cardiovascular Drugs and Therapy,"0,973",79,Q1
Cold Regions Science and Technology,"0,973",99,Q1
Infancy,"0,973",81,Q1
npj Science of Food,"0,973",28,Q1
Tetrahedron Chem,"0,973",7,Q1
Australian Educational Researcher,"0,972",41,Q1
Current Opinion in Toxicology,"0,972",38,Q1
Hernia : the journal of hernias and abdominal wall surgery,"0,972",84,Q1
Journal of Lower Genital Tract Disease,"0,972",54,Q1
Physics in Medicine and Biology,"0,972",215,Q1
Science and Technology of Advanced Materials,"0,972",117,Q1
Archaeological and Anthropological Sciences,"0,971",42,Q1
BMJ Open,"0,971",160,Q1
European Journal of Education,"0,971",59,Q1
Journal of Geography in Higher Education,"0,971",59,Q1
One Health,"0,971",39,Q1
Rheumatology International,"0,971",89,Q2
Theoretical Criminology,"0,971",87,Q1
AAPS Journal,"0,970",132,Q1
"Annals of Allergy, Asthma and Immunology","0,970",125,Q2
"Assessment in Education: Principles, Policy and Practice","0,970",59,Q1
Computing (Vienna/New York),"0,970",69,Q1
Cytokine,"0,970",135,Q2
Ecological Solutions and Evidence,"0,970",16,Q1
Journal of Community and Applied Social Psychology,"0,970",71,Q1
Journal of Organization Design,"0,970",18,Q2
Powder Technology,"0,970",170,Q1
Simulation Modelling Practice and Theory,"0,970",83,Q1
US Geological Survey Profesional Paper,"0,970",39,Q1
Current Infectious Disease Reports,"0,969",60,Q1
Geoenvironmental Disasters,"0,969",31,Q1
International Review for the Sociology of Sport,"0,969",70,Q1
Journal of Medical Systems,"0,969",110,Q1
Journal of Modern Dynamics,"0,969",24,Q1
Mathematics and Computers in Simulation,"0,969",90,Q1
Polymer Chemistry,"0,969",145,Q1
Resilient Cities and Structures,"0,969",8,Q1
Vascular Pharmacology,"0,969",108,Q1
EuroMed Journal of Business,"0,968",36,Q1
International Journal of Critical Infrastructure Protection,"0,968",48,Q1
Journal of Ovarian Research,"0,968",61,Q1
Sociology of Religion,"0,968",55,Q1
American Journal of Bioethics,"0,967",71,Q1
Annals of Glaciology,"0,967",94,Q1
Applied Catalysis A: General,"0,967",237,Q2
Archives of Public Health,"0,967",45,Q1
Community College Review,"0,967",38,Q1
Eye and Brain,"0,967",25,Q1
IEEE Transactions on Semiconductor Manufacturing,"0,967",79,Q1
Infectious Disease Modelling,"0,967",33,Q1
International Journal of Sustainable Development and World Ecology,"0,967",61,Q1
Journal of Dynamics and Differential Equations,"0,967",53,Q1
Journal of Family Psychology,"0,967",141,Q1
Narra J,"0,967",12,Q1
Neural Regeneration Research,"0,967",68,Q2
Orthodontics and Craniofacial Research,"0,967",68,Q1
Parasites and Vectors,"0,967",111,Q1
Personality and Mental Health,"0,967",30,Q1
Profesional de la Informacion,"0,967",45,Q1
Scandinavian Actuarial Journal,"0,967",44,Q1
Studies in Comparative International Development,"0,967",62,Q1
Youth and Society,"0,967",74,Q1
Area Development and Policy,"0,966",24,Q1
Beneficial microbes,"0,966",62,Q2
Cellulose,"0,966",157,Q1
Computer Science Education,"0,966",43,Q1
Cultural Trends,"0,966",37,Q1
Current Research in Environmental Sustainability,"0,966",18,Q1
"Engineering Science and Technology, an International Journal","0,966",83,Q1
Frontiers in Neurology,"0,966",105,Q2
Mycoses,"0,966",87,Q1
World Medical and Health Policy,"0,966",22,Q1
American Journal of Evaluation,"0,965",68,Q1
Annals of Laboratory Medicine,"0,965",47,Q1
Blue-Green Systems,"0,965",13,Q1
Cell and Tissue Research,"0,965",158,Q1
International Journal of Science Education,"0,965",126,Q1
Journal of Orthopaedic Trauma,"0,965",144,Q1
Nanocomposites,"0,965",25,Q1
Preventive Medicine Reports,"0,965",53,Q1
Social Indicators Research,"0,965",136,Q1
Sociology of Race and Ethnicity,"0,965",36,Q1
Xinxing Tan Cailiao/New Carbon Materials,"0,965",55,Q1
Early Childhood Education Journal,"0,964",54,Q1
IEEE Internet Computing,"0,964",122,Q1
Journal of Asian Earth Sciences,"0,964",155,Q1
Journal of Eurasian Studies,"0,964",28,Q1
Journal of Mammary Gland Biology and Neoplasia,"0,964",112,Q2
Journal of Materials in Civil Engineering,"0,964",138,Q1
Muscle and Nerve,"0,964",167,Q2
Structures,"0,964",54,Q1
Transnational Environmental Law,"0,964",26,Q1
Insect Science,"0,963",61,Q1
Journal of Dermatological Science,"0,963",110,Q1
Journal of Homosexuality,"0,963",90,Q1
Biomedicines,"0,962",67,Q1
European Thyroid Journal,"0,962",28,Q2
Journal of Applied Social Psychology,"0,962",134,Q2
Journal of Curriculum Studies,"0,962",69,Q1
Mineral Processing and Extractive Metallurgy Review,"0,962",53,Q1
Oecologia,"0,962",220,Q1
Annals of Dyslexia,"0,961",57,Q1
Annals of the American Academy of Political and Social Science,"0,961",124,Q1
Asia Pacific Journal of Marketing and Logistics,"0,961",63,Q1
Communications in Analysis and Geometry,"0,961",47,Q1
Journal of Economics and Management Strategy,"0,961",79,Q1
Virtual Economics,"0,961",19,Q1
Adipocyte,"0,960",34,Q1
Compare,"0,960",54,Q1
Ethnoarchaeology,"0,960",9,Q1
Geosphere,"0,960",76,Q1
IEEE Access,"0,960",242,Q1
Journal of Environmental Planning and Management,"0,960",86,Q1
Journal of Intelligent and Robotic Systems: Theory and Applications,"0,960",96,Q1
Microbial Ecology,"0,960",150,Q1
"Nutrition, Metabolism and Cardiovascular Diseases","0,960",119,Q1
SIAM Journal on Imaging Sciences,"0,960",82,Q1
Swiss Political Science Review,"0,960",41,Q1
Transactions of the London Mathematical Society,"0,960",7,Q1
American Journal of Infection Control,"0,959",128,Q1
CES Transactions on Electrical Machines and Systems,"0,959",23,Q1
"Current Opinion in Endocrinology, Diabetes and Obesity","0,959",83,Q1
Current Opinion in Nephrology and Hypertension,"0,959",105,Q1
Food Bioscience,"0,959",62,Q1
Frontiers in Integrative Neuroscience,"0,959",76,Q2
Intelligent Systems with Applications,"0,959",18,Q1
Journal of Higher Education Policy and Management,"0,959",54,Q1
"Multiple Sclerosis Journal - Experimental, Translational and Clinical","0,959",29,Q2
Transactions of Nonferrous Metals Society of China,"0,959",95,Q1
BioData Mining,"0,958",38,Q1
Cardio-Oncology,"0,958",21,Q1
Health Care Management Science,"0,958",66,Q1
Journal of Behavioral and Experimental Finance,"0,958",39,Q1
Journal of Oral Rehabilitation,"0,958",109,Q1
OR Spectrum,"0,958",79,Q1
Applied Microbiology and Biotechnology,"0,957",267,Q1
Cognitive Systems Research,"0,957",69,Q2
Expert Review of Neurotherapeutics,"0,957",98,Q1
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"0,957",132,Q1
IET Control Theory and Applications,"0,957",122,Q1
Journal of Physical Chemistry C,"0,957",338,Q1
Applied Acoustics,"0,956",105,Q1
Clinical Toxicology,"0,956",108,Q1
Emergency Medicine Journal,"0,956",94,Q1
FlatChem,"0,956",37,Q1
Journal of Investigative Dermatology Symposium Proceedings,"0,956",88,Q1
Marine Geology,"0,956",159,Q1
Microsurgery,"0,956",74,Q1
Nature and Science of Sleep,"0,956",51,Q2
Neuropsychologia,"0,956",229,Q2
Neurosurgical Review,"0,956",74,Q1
Plant Methods,"0,956",95,Q1
Talanta,"0,956",185,Q1
Theoretical and Computational Fluid Dynamics,"0,956",66,Q1
Algebraic and Geometric Topology,"0,955",29,Q1
European Journal of Physical and Rehabilitation Medicine,"0,955",75,Q1
ICES Journal of Marine Science,"0,955",138,Q1
IEEE Software,"0,955",126,Q2
Journal of Asthma and Allergy,"0,955",41,Q2
Marketing Intelligence and Planning,"0,955",84,Q2
Redox Report,"0,955",77,Q2
STAR Protocols,"0,955",19,Q1
Algal Research,"0,954",100,Q1
Annals of Applied Statistics,"0,954",84,Q1
Biodiversity and Conservation,"0,954",153,Q1
BMC psychology,"0,954",40,Q1
Developmental Neuroscience,"0,954",91,Q2
Hydrological Processes,"0,954",182,Q1
Infectious Diseases,"0,954",83,Q1
International Data Privacy Law,"0,954",28,Q1
International Journal of COPD,"0,954",88,Q1
International Journal of Pharmaceutics,"0,954",258,Q1
Journal of Nuclear Cardiology,"0,954",93,Q1
Pregnancy Hypertension,"0,954",39,Q1
Rehabilitation Psychology,"0,954",78,Q1
Cambridge Journal of Economics,"0,953",98,Q2
Current Research in Translational Medicine,"0,953",67,Q1
Frontiers in Forests and Global Change,"0,953",35,Q1
Frontiers of Engineering Management,"0,953",12,Q2
International Journal of Nursing Sciences,"0,953",37,Q1
Journal of International Economic Law,"0,953",57,Q1
Journal of Physiology and Biochemistry,"0,953",58,Q1
Linguistics and Language Compass,"0,953",58,Q1
Nanoscale Advances,"0,953",59,Q1
Planning Theory and Practice,"0,953",58,Q1
"Population, Space and Place","0,953",91,Q1
"Anaesthesia, critical care &amp; pain medicine","0,952",50,Q1
Environmental Communication,"0,952",50,Q1
Health Sociology Review,"0,952",37,Q1
Inflammopharmacology,"0,952",68,Q1
International Journal of Systematic and Evolutionary Microbiology,"0,952",196,Q1
International Journal of Tuberculosis and Lung Disease,"0,952",121,Q1
Journal of Macromarketing,"0,952",67,Q2
Journal of Medical Ethics,"0,952",87,Q1
Journal of Membrane Science Letters,"0,952",10,Q1
Neuroscience Insights,"0,952",29,Q2
Sexually Transmitted Diseases,"0,952",113,Q1
Synthetic and Systems Biotechnology,"0,952",36,Q1
ACS Physical Chemistry Au,"0,951",11,Q1
China CDC Weekly,"0,951",23,Q1
International Journal of Gynecology and Obstetrics,"0,951",119,Q1
International Journal of Rail Transportation,"0,951",31,Q1
Journal of Diabetes,"0,951",58,Q2
Nutrition Research,"0,951",111,Q2
American Journal of Cardiology,"0,950",237,Q1
Atmospheric Pollution Research,"0,950",71,Q1
Endangered Species Research,"0,950",71,Q1
Higher Education Pedagogies,"0,950",22,Q1
Infant Mental Health Journal,"0,950",83,Q1
International Journal of Accounting and Information Management,"0,950",35,Q1
International Journal of Clinical Oncology,"0,950",75,Q1
International Journal of Digital Earth,"0,950",62,Q1
JMIR Medical Informatics,"0,950",49,Q2
Pest Management Science,"0,950",156,Q1
Theory and Practice of Logic Programming,"0,950",50,Q1
ChemElectroChem,"0,949",86,Q2
Clinical Rehabilitation,"0,949",125,Q1
Computers and Mathematics with Applications,"0,949",154,Q1
Current Opinion in Pulmonary Medicine,"0,949",86,Q2
Frontiers in Behavioral Neuroscience,"0,949",99,Q1
Invertebrate Systematics,"0,949",58,Q1
Journal of Enzyme Inhibition and Medicinal Chemistry,"0,949",92,Q1
Journal of Integrative Agriculture,"0,949",81,Q1
Journal of Language Evolution,"0,949",14,Q1
Journal of Neuromuscular Diseases,"0,949",39,Q2
Journal of Pediatric Surgery,"0,949",144,Q1
Journal of Specialised Translation,"0,949",36,Q1
NMR in Biomedicine,"0,949",131,Q1
Research on Aging,"0,949",76,Q1
Catheterization and Cardiovascular Interventions,"0,948",130,Q1
Journal of Education for Students Placed at Risk,"0,948",23,Q1
Journal of Personality Disorders,"0,948",105,Q1
Mechanics of Materials,"0,948",125,Q1
Neural Computation,"0,948",180,Q1
Technical Communication Quarterly,"0,948",39,Q1
Biochimica et Biophysica Acta - Biomembranes,"0,947",218,Q1
Cell Cycle,"0,947",170,Q1
Environmental Evidence,"0,947",41,Q1
Experimental Cell Research,"0,947",206,Q2
International Journal of Alzheimer's Disease,"0,947",61,Q2
Journal of Plant Physiology,"0,947",159,Q1
Chemico-Biological Interactions,"0,946",144,Q1
Feminist Criminology,"0,946",46,Q1
International Journal of Precision Engineering and Manufacturing - Green Technology,"0,946",53,Q1
International Journal of Refrigeration,"0,946",138,Q1
Journal of Creative Behavior,"0,946",71,Q1
Journal of Literacy Research,"0,946",54,Q1
Journal of Science Teacher Education,"0,946",57,Q1
Journal of the International Society of Sports Nutrition,"0,946",68,Q1
Neurobiology of Pain,"0,946",19,Q1
Scandinavian Journal of Immunology,"0,946",96,Q1
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","0,945",154,Q1
Melanoma Management,"0,945",14,Q1
Memetic Computing,"0,945",40,Q1
Ultrasound Journal,"0,945",37,Q1
American Politics Research,"0,944",61,Q1
Carbohydrate Polymer Technologies and Applications,"0,944",26,Q1
CNS Spectrums,"0,944",92,Q2
European Business Review,"0,944",55,Q1
European Journal of Haematology,"0,944",95,Q1
Journal of Immunology Research,"0,944",113,Q1
Journal of Neurogastroenterology and Motility,"0,944",61,Q2
Microorganisms,"0,944",87,Q2
Planta,"0,944",185,Q1
Renewable Energy Focus,"0,944",35,Q2
International Journal on Semantic Web and Information Systems,"0,943",38,Q1
Israel Journal of Mathematics,"0,943",62,Q1
Pharmacotherapy,"0,943",126,Q1
Physica Medica,"0,943",64,Q1
World Economy,"0,943",82,Q1
Administration and Policy in Mental Health and Mental Health Services Research,"0,942",91,Q1
Clinical Breast Cancer,"0,942",80,Q2
Clinical Oral Investigations,"0,942",101,Q1
Critical Public Health,"0,942",56,Q1
Feminist Theory,"0,942",51,Q1
Foot and Ankle Surgery,"0,942",51,Q1
International Journal of Audiology,"0,942",96,Q1
Journal of Neural Transmission,"0,942",129,Q2
Journal of Plant Growth Regulation,"0,942",104,Q1
Small GTPases,"0,942",50,Q2
Analysis,"0,941",53,Q1
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,"0,941",121,Q1
Drug Metabolism and Disposition,"0,941",194,Q1
GSA Today,"0,941",86,Q1
Journal of Gastrointestinal Surgery,"0,941",145,Q1
Microporous and Mesoporous Materials,"0,941",190,Q1
TQM Journal,"0,941",79,Q1
Biological Invasions,"0,940",130,Q1
Discourse and Society,"0,940",85,Q1
European Journal of Orthodontics,"0,940",100,Q1
"Global Security - Health, Science and Policy","0,940",8,Q1
Industrial and Organizational Psychology,"0,940",50,Q2
International Journal of Sport and Exercise Psychology,"0,940",47,Q2
Journal of Advanced Prosthodontics,"0,940",45,Q1
Molecular Pharmaceutics,"0,940",156,Q1
Oceanography,"0,940",106,Q1
Social Psychological Bulletin,"0,940",13,Q2
Surfaces and Interfaces,"0,940",65,Q1
International Journal of Multiphase Flow,"0,939",140,Q1
Journal of Gambling Studies,"0,939",90,Q1
Journal of Marketing Education,"0,939",66,Q1
Journal of Physical Activity and Health,"0,939",88,Q1
SIAM Journal on Applied Mathematics,"0,939",109,Q1
Ceramics International,"0,938",155,Q1
Diabetes Therapy,"0,938",52,Q2
Ethnic and Racial Studies,"0,938",118,Q1
Journal of Mathematical Psychology,"0,938",80,Q1
Journal of Psychotherapy Integration,"0,938",43,Q2
"Psychology, Health and Medicine","0,938",76,Q2
Revista de Psicodidactica,"0,938",37,Q1
Western Journal of Emergency Medicine,"0,938",53,Q1
Annals of Emergency Medicine,"0,937",172,Q1
British Journal of Sociology,"0,937",112,Q1
Crime and Delinquency,"0,937",86,Q1
Epilepsia Open,"0,937",31,Q2
Health Psychology Open,"0,937",29,Q2
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"0,937",119,Q1
Journal of Climate Change and Health,"0,937",13,Q1
Michigan Law Review,"0,937",62,Q1
"G3: Genes, Genomes, Genetics","0,936",85,Q1
Hormones and Behavior,"0,936",161,Q2
Human Pathology,"0,936",155,Q1
Journal of Ethnopharmacology,"0,936",231,Q1
Journal of Global Operations and Strategic Sourcing,"0,936",31,Q2
Journal of Intellectual Disability Research,"0,936",119,Q1
Thermal Science and Engineering Progress,"0,936",56,Q1
Archives of Disease in Childhood,"0,935",164,Q1
BMC Medical Education,"0,935",97,Q1
IEEE Open Journal of Antennas and Propagation,"0,935",22,Q1
Journal of Neuroscience Methods,"0,935",175,Q2
Physical Review Physics Education Research,"0,935",42,Q1
British Journal of Industrial Relations,"0,934",81,Q1
Cancer Causes and Control,"0,934",147,Q2
Clinics in Liver Disease,"0,934",94,Q2
Current Problems in Cardiology,"0,934",57,Q1
Energy Journal,"0,934",92,Q2
European Educational Research Journal,"0,934",47,Q1
Hypertension Research,"0,934",104,Q2
ImmunoHorizons,"0,934",21,Q1
Information and Learning Science,"0,934",37,Q1
Journal of Clinical Pathology,"0,934",153,Q1
Journal of Competitiveness,"0,934",37,Q1
Kidney Medicine,"0,934",22,Q1
"New Zealand Journal of Geology, and Geophysics","0,934",61,Q1
Breast Cancer: Targets and Therapy,"0,933",43,Q2
"Cancer journal (Sudbury, Mass.)","0,933",102,Q2
Education for Chemical Engineers,"0,933",30,Q1
Peritoneal Dialysis International,"0,933",93,Q1
Advances in Developing Human Resources,"0,932",57,Q2
American Journal of Managed Care,"0,932",106,Q1
Cannabis and Cannabinoid Research,"0,932",42,Q1
Clinical Gerontologist,"0,932",43,Q1
Current Research in Pharmacology and Drug Discovery,"0,932",14,Q1
Food Hydrocolloids for Health,"0,932",13,Q1
IEEE Electrification Magazine,"0,932",42,Q1
Journal of Cosmology and Astroparticle Physics,"0,932",141,Q2
